,turker,additionalThoughts,considr_othrExp,disappoint_othr,fairness,be_friend,generalExpermnt,generalStrategy,generalWilson,greedy,inv10x2exp,inv10x2ret,inv10x4exp,inv10x4ret,inv10x6exp,inv10x6ret,inv1x2exp,inv1x2ret,inv1x4exp,inv1x4ret,inv1x6exp,inv1x6ret,inv5x2exp,inv5x2ret,inv5x4exp,inv5x4ret,inv5x6exp,inv5x6ret,know_p2,liking,like_mostOthrs,self_dependable,self_disappoint_othr,self_fairness,self_greedy,self_trustwrthy,similarity,trust,turk_gender,turk_race,turker_age,wouldInvestInputId,p2,p3,p2_strat,mean_error
10,A16ANYLVNPKCVG:3QAPZX2QN5739MF57Z6G24BXP6G202,no,1.0,100.0,1.0,1.0,"I was very engaged in the task and generally Wilson seemed greedy for the most part so his behavior was mostly predictable. However, in a few cases he acted completely differently and was very generous. So it was pretty difficult to always be correct about how he would act. The task was fun and the graphics made it very easy to follow. I didn't find anything particularly odd.",It seemed like if they invested very little he would always return zero. If they invested a fair amount he would give them close to what they invested back except for rare circumstances where he would give almost everything he made back (which I have no idea why). ,It seemed like he was mostly very greedy and did not fairly return money to others.,100.0,20.0,10.0,20.0,20.0,20.0,20,2.0,2.0,2.0,2.0,2.0,2.0,10.0,5,10.0,10.0,10.0,10,1.0,1.0,1.0,91.0,,90.0,,91.0,1.0,1.0,male,White,35.0,0.0,32.0,15.0,MO,21.385523995173116
11,A16TP8YGKE1FJ5:33FOTY3KENFGETSP0BZMSM3T5K1C1F,,75.0,3.0,86.0,83.0,very engauged and it ws easy to predict. It was way to long people should figure out fairly quickly. The amount never changed ,Returned 4 times them worke down to 3 times ,doing a good service ,10.0,20.0,20.0,20.0,20.0,20.0,40,2.0,0.0,2.0,2.0,2.0,4.0,10.0,10,10.0,10.0,10.0,20,81.0,88.0,87.0,100.0,,95.0,,80.0,100.0,100.0,male,White,50.0,10.0,56.0,16.0,GA,4.707602339181287
12,A17D6BK59S31BM:3MTMREQS4WCLMFBUDLSGFH3Z1UPAWA,I enjoyed it,59.0,18.0,72.0,88.0,I was engaged throughout,gut instinct. patterns throughout the game,decent overall,13.0,10.0,20.0,20.0,40.0,30.0,60,2.0,2.0,2.0,4.0,3.0,6.0,5.0,10,10.0,20.0,15.0,30,69.0,81.0,19.0,72.0,,75.0,,70.0,65.0,70.0,male,White,29.0,3.0,56.0,17.0,GA,24.801587301587304
13,A1835XBNR2UB4X:3RU7GD8VPPNZ220NIZ0C8NP9VDKPS2,,7.0,89.0,77.0,5.0,"I was completely engaged. I think Wilson has a predictable behavior.
Task was fine and easy. Didn't find anything particularly odd.",How much was the initial investment. If it's low then Wilson will probably keep all of it.,Greedy and selfish.,100.0,40.0,15.0,40.0,20.0,40.0,30,4.0,1.0,4.0,2.0,4.0,3.0,20.0,5,20.0,10.0,20.0,15,59.0,13.0,16.0,82.0,,100.0,,82.0,13.0,12.0,male,asian_asn_amer,31.0,10.0,92.0,18.0,MO,10.435115566694513
14,A18G2CLYSTENK:37WLF8U1WQKT4D5AYUS1B17IK4J6KF,fun task,37.0,25.0,30.0,47.0,i was engaged. i thought it was an interesting and fun task,i considered how much the people put into the bag and how much he would return if it was lower than 4x multiplier,i think he was more on the greedy side of things,70.0,20.0,10.0,40.0,20.0,60.0,30,2.0,2.0,4.0,2.0,6.0,3.0,10.0,5,20.0,10.0,30.0,15,38.0,52.0,100.0,100.0,,100.0,,97.0,51.0,39.0,male,White,29.0,2.0,81.0,19.0,GA,16.92274668151861
15,A18SXC3JEN1O0U:3RGU30DZTB20IWKK3PZ6ZI4RU0KMJX,The first page of what was unclear to me as to whether the giver expected gross or net but I figured it must mean net on the second page.,50.0,100.0,1.0,1.0,It was odd that Wilson gave nothing back.,"He always kept everything, no strategy needed.",he's greedy and dishonest,100.0,10.0,8.0,20.0,15.0,40.0,20,1.0,1.0,2.0,2.0,3.0,3.0,5.0,5,10.0,8.0,15.0,10,3.0,1.0,2.0,93.0,,93.0,,90.0,26.0,1.0,male,White,59.0,0.0,83.0,20.0,GR,1.2183235867446391
16,A1945USNZHTROX:3KMS4QQVK3KPN6YLZNV557KVBLDFKG,No issues with the task.,21.0,84.0,14.0,16.0,Fun task however it was weird he did not share more and that friends keep giving him money.,He refused to return any of the money for most of the trials. I would say about 95% of the time he kept t all.,He is greedy.,86.0,20.0,15.0,40.0,30.0,60.0,40,2.0,2.0,4.0,3.0,6.0,4.0,10.0,8,20.0,15.0,30.0,20,94.0,18.0,61.0,82.0,,68.0,,64.0,15.0,16.0,male,White,38.0,0.0,52.0,21.0,GR,4.563724125127634
17,A19L8SNH73AX1Z:3ZAZR5XV02CD9PDX8M8EKGN5KXIZCT,no,31.0,46.0,75.0,77.0,I was very engaged. It was kind of hard to predict Wilson's behavior because it wasn't really consistent. I liked that the task was engaging. I didn't really find anything odd,how much money wilson received and tried to figure out his pattern,I feel that Wilson is pretty generous overall,39.0,10.0,10.0,20.0,20.0,20.0,30,2.0,1.0,2.0,2.0,2.0,3.0,10.0,5,10.0,10.0,10.0,15,52.0,73.0,55.0,88.0,,90.0,,87.0,63.0,52.0,female,White,54.0,7.0,100.0,22.0,GA,17.197507658033974
18,A19TL7AJ0FB1JG:3DHE4R9OCX50KQQQL1VJNWYDWTDG23,no issues,59.0,89.0,29.0,8.0,Slightly difficult but got easier towards the end.,"I knew the people were aware of how much it quadrupled their money, but I also considered how much money they had left after their investment.","He wanted to make a profit, ripping off good people. ",100.0,40.0,10.0,40.0,15.0,40.0,40,4.0,0.0,4.0,4.0,4.0,4.0,20.0,10,20.0,15.0,20.0,10,8.0,31.0,40.0,100.0,,98.0,,91.0,32.0,7.0,female,White,28.0,5.0,54.0,23.0,MO,13.704109811565951
19,A1A2XH9JVSN8Z0:3S96KQ6I9NYRS5AC2QE7IY46J29DTT,,79.0,1.0,100.0,50.0,"I was engaged, but it was too long.","At first none, but later 2x the original number.",He usually underpaid what was expected.,1.0,40.0,40.0,40.0,40.0,40.0,40,4.0,4.0,4.0,4.0,4.0,4.0,20.0,20,20.0,20.0,20.0,20,1.0,51.0,100.0,100.0,,100.0,,100.0,79.0,80.0,female,White,72.0,0.0,93.0,24.0,GA,12.90448343079922
20,A1A7KL0CEERE60:35USIKEBNSAUCJQDV7KH3TOMDAZ6NG,"Thank you, I enjoyed it.",4.0,100.0,1.0,6.0,"I was very engaged and thought the task was very fun.  It was a little difficult to predict his behavior, unless the amount was very small and the multiplier was small, then I knew it would be 0. I liked everything about it and didn't find anything odd.","I considered how much the money was multiplied by.  The greater it was, the more the person stood a chance of getting a little back.",Wilson is greedy and looks out only for his own interests.,100.0,40.0,10.0,40.0,20.0,40.0,20,4.0,1.0,4.0,1.0,4.0,2.0,20.0,5,20.0,10.0,20.0,15,59.0,32.0,64.0,92.0,,93.0,,77.0,64.0,3.0,female,White,65.0,0.0,54.0,25.0,MO,8.978638726445743
21,A1AKL5YH9NLD2V:32UTUBMZ7HQDQ0GHTPNGOQ4RDVNBVW,Thanks for the HIT!,11.0,100.0,1.0,12.0,"It was rather difficult to predict since he would, seemingly randomly, sometimes give out way more than normal. I disliked how much clicking it took to get through each person. All the information could have easily been displayed after one click for each person which would have been much nicer.","The only main strategy I had was if the output of the bag was less than 10 I just assumed Wilson would give 0 back. Other than that, the more the bag gave, the more I would go up the bar.",He's greedy and selfish.,100.0,40.0,20.0,40.0,30.0,40.0,40,4.0,2.0,4.0,4.0,4.0,4.0,20.0,10,20.0,15.0,20.0,20,1.0,23.0,18.0,79.0,,79.0,,77.0,6.0,1.0,male,White,29.0,0.0,4.0,26.0,IA,15.245405179615705
22,A1AQQFJAF8CI4H:3LUY3GC630UDJ4GVUW21DWTD57A7PD,good hit,71.0,10.0,75.0,69.0,i was fully engaged,i looked at the percentages that he would give back based on the multiplier,he was fair for the most part,42.0,20.0,20.0,40.0,20.0,60.0,30,2.0,2.0,4.0,4.0,6.0,6.0,10.0,10,20.0,20.0,30.0,15,67.0,66.0,54.0,79.0,6.0,83.0,1.0,78.0,63.0,61.0,,,,2.0,93.0,27.0,GA,15.748224728487886
23,A1B4WL7N3ACF2T:3ZPPDN2SLWQD0WFY0FKAXGLFPJ69E5,Interesting study! Hoping to read debriefing statement. Thank you!  :),10.0,92.0,14.0,33.0,"Not too difficult to predict his behavior; what was difficult was getting it to the exact dollar consistently. Very engaged, loved the task! Didn't really find anything odd about it. Thank you.",Just prior behavior/ratios,He is not fair/quite greedy/selfish,100.0,10.0,10.0,20.0,20.0,30.0,30,1.0,1.0,2.0,2.0,3.0,3.0,5.0,5,10.0,10.0,15.0,15,80.0,21.0,78.0,100.0,,100.0,,100.0,1.0,20.0,female,White,57.0,0.0,54.0,28.0,MO,9.04767706302794
24,A1B76WYZ47BQJ:3GNA64GUZFYJWC3R6G2TFH5RLF75QV,NO,63.0,58.0,58.0,57.0,I FOUND IT FUN AND IT MADE ME THINK.,GIVE BACK WHAT THEY BET AND KEEP PROFIT.,"NICE ,FRIENDLY GUY",59.0,20.0,20.0,40.0,40.0,60.0,60,2.0,2.0,4.0,4.0,6.0,6.0,10.0,10,20.0,20.0,30.0,30,58.0,58.0,57.0,63.0,,64.0,,59.0,55.0,57.0,male,White,52.0,10.0,56.0,29.0,GA,24.831117144713637
25,A1BNGJBEWJS8WE:38JBBYETQP4C3Q9MJKOJG8AZ4ZY4ER,,1.0,100.0,1.0,1.0,Totally engaged. His behavior was ODD,lowest and get away with it!,really a creep,100.0,40.0,12.0,40.0,12.0,40.0,12,4.0,0.0,4.0,0.0,4.0,0.0,20.0,6,20.0,5.0,20.0,8,81.0,13.0,66.0,99.0,,99.0,,100.0,1.0,1.0,female,White,69.0,10.0,65.0,30.0,MO,10.804905782975958
26,A1BVG13MHBM1YD:3TY7ZAOG5GEYQ2JVW5CK20XR7KDK0A,no,1.0,100.0,1.0,1.0,"It was hard to predict. I tried doing some math problems to figure it out but at the same time, I did not want to spend hours trying to figure it out. I still don't know what his strategy was except that I felt he was just cheating.",I just tried to memorize what Wilson gave the last time someone invested a similar amount.,Shady and not very trustworthy,100.0,20.0,20.0,40.0,40.0,60.0,60,2.0,2.0,4.0,4.0,6.0,6.0,10.0,10,20.0,20.0,30.0,30,1.0,1.0,27.0,100.0,,100.0,,86.0,1.0,1.0,female,White,40.0,0.0,65.0,32.0,MO,7.983732479346513
27,A1C0H8G0YI15MN:36H9ULYP63OUCMS3H2VT4SKIWWDFJH,NO,10.0,98.0,1.0,1.0,FULLY ENGAGED.  PRETTY HARD TO PREDICT NON-ZERO RESULTS,PREVIOUS RESULTS,HE IS GREEDY,92.0,40.0,10.0,40.0,20.0,40.0,30,4.0,1.0,4.0,2.0,4.0,3.0,20.0,5,20.0,10.0,20.0,15,74.0,1.0,1.0,100.0,,100.0,,100.0,1.0,1.0,male,White,72.0,0.0,52.0,33.0,GR,3.077369349299174
28,A1C1YCP428CQ7E:3I7DHKZYGOUM5NDIS0RZ3I1DGOI5F9,,61.0,75.0,41.0,50.0,Interesting task. It was tough to pick up a pattern.,It was a little difficult to pick up a pattern. I tried to base the return on what was invested.,A little greedy,63.0,40.0,20.0,40.0,40.0,40.0,40,4.0,2.0,4.0,4.0,4.0,4.0,20.0,10,20.0,20.0,20.0,20,49.0,51.0,61.0,76.0,,72.0,,65.0,78.0,54.0,male,White,28.0,5.0,75.0,34.0,GA,18.781908474890933
29,A1C5SQZ045W0L5:3DI28L7YXB8VBRC3W25HIA3WS7T1E0,none,1.0,100.0,1.0,16.0,"I enjoyed the task and was very engaged.  I tried to find a pattern, but was unable to.  It was pretty difficult to predict exactly, but I could get pretty close. Fun Task!","At first, I believed he would at least double the investment if the machine multiplied it. Then I thought that perhaps he would at least return the amount they invested.  I mostly considered how much he made when determining how much he may return.",Wilson is greedy and he is taking advantage of people willing to put money into his machine.,100.0,40.0,20.0,40.0,40.0,40.0,60,4.0,2.0,4.0,4.0,4.0,6.0,20.0,10,20.0,20.0,20.0,30,66.0,6.0,19.0,100.0,,100.0,,100.0,1.0,1.0,male,White,27.0,0.0,75.0,35.0,GA,14.211918685602894
30,A1C6NTK19FBQO0:3JV9LGBJWU8ERXFV8ZTGU91GXRDGOZ,,59.0,33.0,41.0,55.0,,,,37.0,,,,,,,,,,,,,,,,,,,74.0,43.0,47.0,39.0,,36.0,,45.0,34.0,63.0,male,White,25.0,1.0,32.0,36.0,MO,31.303896314861223
31,A1CBDP4IWG7ISB:3SKEMFQBZ4ZG8ROYR9PZVF39PJQ8KN,no,7.0,76.0,15.0,8.0,I was engaged it wasnt clear at first because i thought u were going to give examples first,"For each ten that was made he would give them a dollar, unless they invested low",hes a dick,71.0,40.0,10.0,40.0,20.0,40.0,40,4.0,1.0,4.0,2.0,4.0,3.0,15.0,5,15.0,10.0,15.0,15,68.0,5.0,50.0,81.0,,92.0,,80.0,12.0,23.0,female,other,27.0,0.0,72.0,37.0,GR,9.324700640490112
32,A1CH3TODZNQCES:3GGAI1SQEWSDAIEETXIKCERW4Z5MCF,NO. Thank you! ,17.0,72.0,7.0,15.0,"I was engaged fully, it was kind of hard to predict Wilson's behavior. I liked the art and the smoothness of the task, I found it odd how hard it was to predict!",The smaller the multiplier the less Wilson would return. ,"He is a bit greedy,",94.0,15.0,0.0,20.0,15.0,40.0,5,8.0,0.0,0.0,0.0,10.0,0.0,10.0,0,10.0,5.0,20.0,0,26.0,79.0,14.0,100.0,,86.0,,91.0,84.0,7.0,male,White,29.0,5.0,32.0,38.0,MO,26.656920077972707
33,A1CSDIX05PK9V:33FBRBDW6PTYPTCAZW817WQ1KE5C8A,,10.0,77.0,10.0,31.0,,What percentage he typically returned,Selfish,85.0,40.0,10.0,40.0,20.0,40.0,30,4.0,1.0,4.0,2.0,4.0,3.0,20.0,5,20.0,10.0,20.0,15,31.0,29.0,26.0,74.0,,85.0,,71.0,27.0,25.0,male,White,31.0,0.0,47.0,39.0,IA,9.844344657941148
34,A1DY3EW6Q0B5K5:3B1NLC6UG0QWCXRWNZ6VJ9668BUGPW,cute game though,31.0,71.0,39.0,20.0,too many trials!,the percentage that he has returned in the past,selfish,92.0,10.0,10.0,40.0,20.0,40.0,40,1.0,1.0,4.0,2.0,4.0,4.0,5.0,5,20.0,10.0,20.0,20,63.0,54.0,76.0,21.0,,73.0,,32.0,54.0,15.0,female,White,37.0,0.0,65.0,40.0,MO,13.937505801540889
35,A1E235KE3CSO7H:3TDXMTX3CCO2YIFMYR7PYLS5RC7I6G,Good luck with your research.,1.0,95.0,8.0,8.0,"I was hard to predict. I tried by using numers, colors, and gender.  ",I considered what was fair then subtracted for Wilson's greed.,"Greedy, and out for himslef.",76.0,30.0,20.0,30.0,40.0,30.0,30,3.0,2.0,3.0,3.0,3.0,3.0,15.0,10,15.0,15.0,15.0,15,31.0,13.0,48.0,100.0,,98.0,,99.0,13.0,11.0,female,White,62.0,2.0,54.0,41.0,MO,21.36167966211826
36,A1E94U14N16SYJ:31QTRG6Q2U7WYOCWH5S1Q9DAC92YPX,,7.0,100.0,16.0,50.0,"I am pretty engaged at the beginning. After I predicted Wilson's behavior, it gets boring since it is not hard  to figured it out. The number of rounds should be shorten to be good. ","I consider the multiplier. However, I realized that Wilson is not returning anybody money. ",pretty greedy person,92.0,20.0,10.0,20.0,10.0,20.0,10,2.0,1.0,2.0,1.0,2.0,1.0,10.0,5,10.0,5.0,10.0,5,6.0,33.0,37.0,61.0,,61.0,,75.0,38.0,7.0,female,asian_asn_amer,25.0,0.0,83.0,42.0,GR,1.871345029239766
37,A1EBQ9X6IN5OZC:3FIJLY1B6VYQYXV1CF0D1O6U5DZFPX,None. ,62.0,66.0,12.0,4.0,"He mostly returned what the person expected, sometimes he would act differently and return more or less. ","I considered what the person was expecting to get back, and used that as a base.",He is g reedy.,77.0,20.0,20.0,20.0,25.0,20.0,30,2.0,2.0,2.0,4.0,2.0,6.0,10.0,10,10.0,15.0,10.0,20,4.0,15.0,79.0,77.0,,44.0,,77.0,77.0,9.0,female,White,31.0,0.0,56.0,43.0,GA,16.097593520839137
38,A1EITLFAMKA61U:39GHHAVOMGLKE6VEXLZADONR97U4JC,,17.0,76.0,12.0,28.0,it was an interesting experience to see the action of the character and how he continued to trick others and be unfair,seeing how much he returns based on the total that comes out of the bag,he is greedy and not fair,94.0,40.0,20.0,40.0,20.0,40.0,20,4.0,2.0,4.0,2.0,4.0,2.0,20.0,10,20.0,10.0,20.0,10,42.0,26.0,42.0,54.0,,60.0,,63.0,15.0,5.0,male,asian_asn_amer,34.0,0.0,65.0,44.0,MO,7.8693260930103035
39,A1ET2J1PIP0RGO:3GDTJDAPVV5BYFO1CL2FASVDEP1M8O,,24.0,53.0,27.0,39.0,,,,80.0,40.0,14.0,40.0,18.0,40.0,15,4.0,1.0,4.0,1.0,4.0,2.0,20.0,6,20.0,10.0,20.0,10,12.0,5.0,50.0,8.0,,53.0,,19.0,47.0,61.0,male,White,39.0,2.0,97.0,45.0,IA,12.198261858349577
40,A1F3QNQHIL7K4U:3RKNTXVS3NS9DDSA3FMXKPK8IB8A4R,Nothing,33.0,83.0,27.0,20.0,"I was pretty attentive during this task. I found that once I could pick out a pattern, getting close to what wilson would give back wasn't too difficult most of the time.",I knew that if the amount was under twelve dollars wilson would keep it all. Then I tried to remember what he gave back for previous total amounts. ,I feel wilson kept more than he should. There were times he could have given back significantly more and still had something for himself.,67.0,40.0,10.0,40.0,10.0,40.0,40,4.0,0.0,4.0,0.0,4.0,4.0,20.0,5,20.0,5.0,20.0,20,71.0,64.0,63.0,94.0,,66.0,,73.0,38.0,12.0,male,White,36.0,10.0,92.0,46.0,MO,10.624825953773321
41,A1F4N58CAX8IMK:3D8YOU6S9FE779AMS8W3HOGGL7Y6UG,Not at this time. Thanks for letting me take part.,70.0,53.0,44.0,100.0,I was engaged. I probably could have predicted the outcomes better if I kept a chart. There appeared to be a kind of formula.,Any low amount of money meant he wasn't going to return any.,"He's a business man and charges for the attempt, no matter the outcome.",66.0,20.0,10.0,20.0,20.0,30.0,30,2.0,1.0,2.0,2.0,2.0,3.0,10.0,5,10.0,10.0,10.0,15,79.0,73.0,50.0,79.0,,73.0,,83.0,22.0,57.0,male,White,28.0,10.0,54.0,47.0,MO,8.524320059407778
42,A1GBREDIXVK4SW:39N5ACM9HFHHXN4O9T0LRSKJ3PMP9I,no,51.0,100.0,1.0,1.0,"Very engaged; very hard/impossible; frustrating to find a pattern/most all HITS are ""odd"" in one respect or anothr","I tried several strategies - nothing worked! Gender and ""race.""",He's an crook.,100.0,20.0,20.0,40.0,40.0,60.0,60,2.0,2.0,4.0,4.0,6.0,6.0,10.0,10,20.0,20.0,30.0,30,1.0,1.0,12.0,100.0,,95.0,,94.0,1.0,1.0,male,White,76.0,0.0,92.0,50.0,MO,26.26357560568087
43,A1GYW4MZ6NIN1O:3A7Y0R2P2PIBC8JOHW1FAZKP142JXC,Interesting study!,8.0,100.0,8.0,50.0,"It was easy to predict his behavior after a couple of tries. Even though his behavior was consistent, it was surprising.","Started out trusting and believing he would do the right thing, but after seeing his behavior after a couple of tries I adjusted my guess to match his past behavior.",Greedy,100.0,40.0,10.0,40.0,20.0,40.0,40,4.0,2.0,4.0,2.0,4.0,4.0,20.0,5,20.0,10.0,20.0,20,70.0,21.0,1.0,76.0,,76.0,,74.0,24.0,37.0,female,asian_asn_amer,49.0,1.0,83.0,51.0,GR,2.923976608187134
44,A1HCD5NKP8G2KK:3L0KT67Y8FATBGSO9MWVLEILZITSY5,"I kept thinking wilson was an ass for keeping so much. After he had gained some money of his own, he could have given them everything that came out. Then he could take his own money, and keep mutilplying what was his, and still giving everyone money they multiplied. He could have easily made everyone quite wealthy, including himself",1.0,97.0,3.0,20.0,"I was very engaged.  I had trouble predicting, since it was usually around 1/3, but often a little less than 1/3. ","it seemed he returned roughly 1/3 of what was in the bag, unless it was less than $10. If less than $10, he kept it all","greedy, dishonest. ",98.0,40.0,10.0,40.0,20.0,40.0,30,4.0,1.0,4.0,2.0,4.0,3.0,20.0,5,20.0,10.0,20.0,15,6.0,8.0,29.0,85.0,,95.0,,92.0,16.0,9.0,female,White,51.0,0.0,92.0,52.0,MO,12.513807667316438
45,A1HXEXQTZCJ1DW:3BEFOD78W7NAFE1Z0IC2TGF8C3SM44,,50.0,100.0,1.0,26.0,I thought that it was odd that it would be zero every time. Predicting was very easy.,On the first turn he gave the person nothing and the second time also so I figured he would just keep taking everyones money,He is very greedy He could have at least given them back their investment.,100.0,40.0,10.0,40.0,10.0,40.0,10,4.0,1.0,4.0,1.0,4.0,1.0,20.0,5,20.0,5.0,20.0,5,1.0,27.0,32.0,78.0,,82.0,,79.0,1.0,2.0,female,Black,34.0,0.0,83.0,54.0,GR,1.7543859649122806
46,A1II4VJWIALNR5:3CTOC39K38KHXTDXZJXHG0710907JF,very good ,14.0,100.0,12.0,18.0,None,"
return a little less than half of what Wilson received

",He is a dishonest person,8.0,40.0,10.0,60.0,20.0,100.0,20,4.0,1.0,6.0,2.0,8.0,3.0,40.0,5,40.0,10.0,60.0,15,10.0,9.0,57.0,69.0,,69.0,,73.0,20.0,28.0,male,White,30.0,1.0,65.0,56.0,MO,12.513401559454191
47,A1IJ86B8ZRKXBI:3DIP6YHAPDMDMRWOVNEWXKQ442K8EO,I was disappointed to see that Wilson could not use money from one person to pay another.,29.0,77.0,27.0,50.0,"Finding the pattern was too easy.  I expected him to vary more, maybe always give the girls 4x and the boys 2x or give purple people less or something.",He always just doubled what the person gave him,He should have given people more reasonable expectations,77.0,40.0,40.0,40.0,40.0,40.0,40,4.0,4.0,4.0,4.0,4.0,4.0,20.0,20,20.0,20.0,20.0,20,1.0,31.0,77.0,64.0,,100.0,,89.0,1.0,50.0,male,White,41.0,10.0,56.0,57.0,GA,1.9883040935672514
