,p2,p3,p2_strat,model,param1,param2,sse,aic,bic,fit_method
0,92,5,MO,inequity-aversion,224.69651853062933,,1074.0,169.3573584123528,171.40040968018735,least_squares_100iters
0,92,5,MO,moral phenotype,0.2105558964926249,-0.01903379733378628,695.0,146.54905293062382,150.63515546629293,least_squares_100iters
0,92,7,MO,rescorla-wagner,0.2145518403000863,,1091.6753026596598,170.28779763501467,172.33084890284923,least_squares_100iters
0,92,7,MO,inverse motive,0.1090682724992023,0.023495055898846862,607.0,138.83221882382205,142.91832135949116,least_squares_100iters
0,92,7,MO,greed,,,2524.0,216.06129048211355,216.06129048211355,least_squares_100iters
0,92,7,MO,guilt-aversion,62.24378026845279,,856.0,156.42548917350996,158.46854044134452,least_squares_100iters
0,92,7,MO,inequity-aversion,188.62505362857385,,600.0,136.171068080751,138.21411934858557,least_squares_100iters
0,92,7,MO,moral phenotype,0.3109908182192534,-0.08560902820753809,248.0,87.81151626483462,91.89761880050372,least_squares_100iters
0,41,9,MO,rescorla-wagner,0.16155857170712387,,1121.3086056985253,171.81442350418018,173.85747477201474,least_squares_100iters
0,41,9,MO,inverse motive,0.27857278890442844,0.30545917330001177,1147.0,175.10566940980476,179.19177194547387,least_squares_100iters
0,41,9,MO,greed,,,2453.0,214.43489925616453,214.43489925616453,least_squares_100iters
0,41,9,MO,guilt-aversion,142.36360809002812,,1357.0,182.6888823440182,184.73193361185275,least_squares_100iters
0,41,9,MO,inequity-aversion,564.9731447640094,,2305.0,212.88772719298333,214.9307784608179,least_squares_100iters
0,41,9,MO,moral phenotype,0.31387479374834704,-0.09303222629301365,685.0,145.72295151437748,149.8090540500466,least_squares_100iters
0,4,10,IA,rescorla-wagner,0.165076553286704,,2139.627958496674,208.64415051216903,210.6872017800036,least_squares_100iters
0,4,10,IA,inverse motive,0.5781142546154348,0.9063166167376897,753.0,151.11779571802458,155.2038982536937,least_squares_100iters
0,4,10,IA,greed,,,3622.0,236.64863112470206,236.64863112470206,least_squares_100iters
0,4,10,IA,guilt-aversion,108.93897461417001,,1406.0,184.71080985855542,186.75386112638998,least_squares_100iters
0,4,10,IA,inequity-aversion,135.51859793755062,,481.0,123.57051212945902,125.61356339729358,least_squares_100iters
0,4,10,IA,moral phenotype,0.22144583970414883,0.0875744667776795,426.0,118.64912047078475,122.73522300645385,least_squares_100iters
0,83,11,GR,rescorla-wagner,0.8229180257864293,,163.0,61.8898391794161,63.93289044725065,least_squares_100iters
0,83,11,GR,inverse motive,0.08586331008601528,0.037677276414347066,265.0,91.5906778146453,95.6767803503144,least_squares_100iters
0,83,11,GR,greed,,,163.0,59.8898391794161,59.8898391794161,least_squares_100iters
0,83,11,GR,guilt-aversion,6.303916485298489,,164.0,62.23846411940995,64.2815153872445,least_squares_100iters
0,83,11,GR,inequity-aversion,20.99072996899487,,163.0,61.8898391794161,63.93289044725065,least_squares_100iters
0,83,11,GR,moral phenotype,0.4868991688079207,0.03907120733252836,181.0,69.8604085155827,73.9465110512518,least_squares_100iters
0,100,13,GA,rescorla-wagner,0.30266120988496753,,3242.125865391311,232.3331956538685,234.37624692170306,least_squares_100iters
0,100,13,GA,inverse motive,0.2999048592324275,0.12488375934539868,1090.0,172.20025732115243,176.28635985682155,least_squares_100iters
0,100,13,GA,greed,,,9907.0,294.0028985808934,294.0028985808934,least_squares_100iters
0,100,13,GA,guilt-aversion,6630.304451117082,,1575.0,191.18067915523545,193.22373042307,least_squares_100iters
0,100,13,GA,inequity-aversion,1243.1582808766161,,684.0,143.639679037916,145.68273030575057,least_squares_100iters
0,100,13,GA,moral phenotype,0.000136935282395223,0.045565828758022425,690.0,146.13749879613502,150.22360133180413,least_squares_100iters
0,62,14,GR,rescorla-wagner,0.07299350903892142,,606.7063056175629,136.8046329407329,138.84768420856744,least_squares_100iters
0,62,14,GR,inverse motive,0.28202961128918064,0.04230686226348204,226.0,82.51657269195094,86.60267522762004,least_squares_100iters
0,62,14,GR,greed,,,701.0,143.03902729440227,143.03902729440227,least_squares_100iters
0,62,14,GR,guilt-aversion,75.28717347457525,,2202.0,210.28199281854026,212.32504408637482,least_squares_100iters
0,62,14,GR,inequity-aversion,189.1143277012586,,2934.0,226.6410293794975,228.68408064733205,least_squares_100iters
0,62,14,GR,moral phenotype,0.424116730463948,0.042170543206434485,356.0,108.41712939199638,112.50323192766548,least_squares_100iters
0,32,15,MO,rescorla-wagner,0.16810322822423787,,2640.140254747753,220.6255550605024,222.66860632833695,least_squares_100iters
0,32,15,MO,inverse motive,0.3027796877068372,0.17246622710633003,741.0,150.2021133753076,154.2882159109767,least_squares_100iters
0,32,15,MO,greed,,,4564.0,249.82549625940274,249.82549625940274,least_squares_100iters
0,32,15,MO,guilt-aversion,114.58410471046344,,2306.0,212.9124506806839,214.95550194851845,least_squares_100iters
0,32,15,MO,inequity-aversion,163.989947992792,,1113.0,171.3904957561367,173.43354702397124,least_squares_100iters
0,32,15,MO,moral phenotype,0.2190942953112125,-0.0021619025314239954,1069.0,171.0913756618582,175.1774781975273,least_squares_100iters
0,56,16,GA,rescorla-wagner,0.3471701037949513,,3138.14136977991,230.47507877560085,232.5181300434354,least_squares_100iters
0,56,16,GA,inverse motive,0.7776022779451932,0.08487210853533202,404.0,115.6267257772162,119.71282831288529,least_squares_100iters
0,56,16,GA,greed,,,9218.0,289.8941400104165,289.8941400104165,least_squares_100iters
0,56,16,GA,guilt-aversion,1457.3494138799647,,468.0,122.00877060073653,124.05182186857108,least_squares_100iters
0,56,16,GA,inequity-aversion,491.6840890785823,,1810.0,199.10775881624332,201.15081008407788,least_squares_100iters
0,56,16,GA,moral phenotype,0.019894580766940284,-0.033395748182328155,491.0,126.74339301771832,130.82949555338743,least_squares_100iters
0,56,17,GA,rescorla-wagner,0.19605624033990962,,2649.6579766303307,220.83067091143195,222.8737221792665,least_squares_100iters
0,56,17,GA,inverse motive,0.32038749397697913,0.28628501892012054,1049.0,170.01485641201958,174.1009589476887,least_squares_100iters
0,56,17,GA,greed,,,7090.0,274.9331930464225,274.9331930464225,least_squares_100iters
0,56,17,GA,guilt-aversion,163.43590723338352,,1445.0,186.270359964583,188.31341123241756,least_squares_100iters
0,56,17,GA,inequity-aversion,382.77656373186363,,997.0,165.11687162125543,167.15992288908998,least_squares_100iters
0,56,17,GA,moral phenotype,0.18707052176608346,-0.09688786665878524,1075.0,171.41040634545115,175.49650888112026,least_squares_100iters
0,92,18,MO,rescorla-wagner,0.296325644129469,,1192.1461018241146,175.3061710326802,177.34922230051475,least_squares_100iters
0,92,18,MO,inverse motive,0.18793137593988737,0.007796132702693479,571.0,135.34726268382323,139.43336521949234,least_squares_100iters
0,92,18,MO,greed,,,2754.0,221.03222945288084,221.03222945288084,least_squares_100iters
0,92,18,MO,guilt-aversion,214.17963916662842,,1599.0,192.04269936496604,194.0857506328006,least_squares_100iters
0,92,18,MO,inequity-aversion,98.90662436061515,,332.0,102.43877096167049,104.48182222950504,least_squares_100iters
0,92,18,MO,moral phenotype,0.29007909278128713,-0.07560528472155133,271.0,92.86685052357359,96.95295305924269,least_squares_100iters
0,81,19,GA,rescorla-wagner,0.4311582803927306,,3590.671463095562,238.15346429425216,240.19651556208672,least_squares_100iters
0,81,19,GA,inverse motive,0.33025527339180816,0.06831396691651537,967.0,165.3753919742684,169.46149450993752,least_squares_100iters
0,81,19,GA,greed,,,9270.0,290.214781271345,290.214781271345,least_squares_100iters
0,81,19,GA,guilt-aversion,1141.994579806299,,1281.0,179.4036669415445,181.44671820937904,least_squares_100iters
0,81,19,GA,inequity-aversion,1399.480180081607,,672.0,142.63080314325015,144.6738544110847,least_squares_100iters
0,81,19,GA,moral phenotype,0.024491598401162495,0.014003817607476057,679.0,145.2214820042763,149.30758453994542,least_squares_100iters
0,83,20,GR,rescorla-wagner,0.5910867954853447,,1297.0,180.11120123946793,182.1542525073025,least_squares_100iters
0,83,20,GR,inverse motive,0.5049788892198428,0.024260369958138003,257.0,89.84341457245817,93.92951710812727,least_squares_100iters
0,83,20,GR,greed,,,1297.0,178.11120123946793,178.11120123946793,least_squares_100iters
0,83,20,GR,guilt-aversion,269.2736143354013,,7265.0,278.32302156568045,280.366072833515,least_squares_100iters
0,83,20,GR,inequity-aversion,56.86304709296097,,1728.0,196.46511484717868,198.50816611501324,least_squares_100iters
0,83,20,GR,moral phenotype,0.48137068852539516,-0.0031144851867628276,1074.0,171.3573584123528,175.4434609480219,least_squares_100iters
0,52,21,GR,rescorla-wagner,0.0009831165466299468,,419.98745214172664,115.83889332718176,117.88194459501632,least_squares_100iters
0,52,21,GR,inverse motive,0.36205692638963005,0.02356558910957416,272.0,93.07679551230248,97.16289804797158,least_squares_100iters
0,52,21,GR,greed,,,420.0,113.84059627624323,113.84059627624323,least_squares_100iters
0,52,21,GR,guilt-aversion,143.81781852107255,,4976.0,256.7518308953145,258.79488216314905,least_squares_100iters
0,52,21,GR,inequity-aversion,146.69536212131408,,3661.0,239.2590996812841,241.30215094911867,least_squares_100iters
0,52,21,GR,moral phenotype,0.4879327861237747,0.05922765266537244,425.0,118.51516036212239,122.60126289779149,least_squares_100iters
0,100,22,GA,rescorla-wagner,0.44985971248647716,,3850.2512378217093,242.13201759202806,244.17506885986262,least_squares_100iters
0,100,22,GA,inverse motive,0.4903694395761012,0.07277547889191306,1010.0,167.85529749404301,171.94140002971213,least_squares_100iters
0,100,22,GA,greed,,,10974.0,299.8332724377091,299.8332724377091,least_squares_100iters
0,100,22,GA,guilt-aversion,7099.505345756765,,1706.0,195.73476123237324,197.7778125002078,least_squares_100iters
0,100,22,GA,inequity-aversion,4491.074560808118,,543.0,130.48130896966498,132.52436023749954,least_squares_100iters
0,100,22,GA,moral phenotype,0.010226638262827492,0.013265917725554743,539.0,132.05986527524348,136.1459678109126,least_squares_100iters
0,54,23,MO,rescorla-wagner,0.45472944847448343,,4387.261734691069,249.57432969994312,251.61738096777768,least_squares_100iters
0,54,23,MO,inverse motive,0.3066010099005938,0.0391484565549675,981.0,166.19470792865633,170.28081046432544,least_squares_100iters
0,54,23,MO,greed,,,7474.0,277.93965750602007,277.93965750602007,least_squares_100iters
0,54,23,MO,guilt-aversion,235.86847675493016,,2167.0,209.3687208210031,211.41177208883767,least_squares_100iters
0,54,23,MO,inequity-aversion,250.83922359419253,,897.0,159.09226187078204,161.1353131386166,least_squares_100iters
0,54,23,MO,moral phenotype,0.08138168981206212,0.08304920503501437,908.0,161.78700731370435,165.87310984937346,least_squares_100iters
0,93,24,GA,rescorla-wagner,0.45504383178721275,,7823.64193994592,282.5456881751295,284.588739442964,least_squares_100iters
0,93,24,GA,inverse motive,0.6262061645582762,0.12866108749426014,2150.0,210.91979563736803,215.00589817303714,least_squares_100iters
0,93,24,GA,greed,,,15697.0,320.23589647911746,320.23589647911746,least_squares_100iters
0,93,24,GA,guilt-aversion,3289.2023481338597,,3073.0,229.27942277486827,231.32247404270282,least_squares_100iters
0,93,24,GA,inequity-aversion,4217.121778691044,,2124.0,208.22629152805493,210.2693427958895,least_squares_100iters
0,93,24,GA,moral phenotype,0.003296725915223342,0.05478778516042357,2124.0,210.22629152805493,214.31239406372404,least_squares_100iters
0,54,25,MO,rescorla-wagner,0.22833547504205357,,1644.176242687134,193.6307798201498,195.67383108798435,least_squares_100iters
0,54,25,MO,inverse motive,0.06082732376556719,0.020600563423240615,566.0,134.84594019101206,138.93204272668117,least_squares_100iters
0,54,25,MO,greed,,,3376.0,232.63954850923398,232.63954850923398,least_squares_100iters
0,54,25,MO,guilt-aversion,166.76677777623604,,2052.0,206.26057949199827,208.30363075983283,least_squares_100iters
0,54,25,MO,inequity-aversion,140.93674368295228,,582.0,134.4348932541226,136.47794452195717,least_squares_100iters
0,54,25,MO,moral phenotype,0.24336154679059008,0.0007963883860200444,445.0,121.13631181690633,125.22241435257543,least_squares_100iters
0,4,26,IA,rescorla-wagner,0.23799062452885286,,2370.4155554385497,214.48284957399724,216.5259008418318,least_squares_100iters
0,4,26,IA,inverse motive,0.7645993251741852,0.07642498683617074,807.0,155.06552682481774,159.15162936048685,least_squares_100iters
0,4,26,IA,greed,,,3899.0,240.8491749054387,240.8491749054387,least_squares_100iters
0,4,26,IA,guilt-aversion,113.29776718515649,,1677.0,194.75749815735355,196.8005494251881,least_squares_100iters
0,4,26,IA,inequity-aversion,326.1038341924505,,1110.0,171.2366495088943,173.27970077672884,least_squares_100iters
0,4,26,IA,moral phenotype,0.14498338505580105,0.008874545375474427,784.0,153.4173918934039,157.50349442907302,least_squares_100iters
0,93,27,GA,rescorla-wagner,0.5452874760724687,,4014.333240212397,244.51079082096038,246.55384208879494,least_squares_100iters
0,93,27,GA,inverse motive,0.5881955470976706,0.18554280177374538,1088.0,172.09557409613626,176.18167663180537,least_squares_100iters
0,93,27,GA,greed,,,11144.0,300.7094991146302,300.7094991146302,least_squares_100iters
0,93,27,GA,guilt-aversion,9079.464430331462,,1596.0,191.9356570799866,193.97870834782117,least_squares_100iters
0,93,27,GA,inequity-aversion,7706.00463053974,,639.0,139.76063163295012,141.80368290078468,least_squares_100iters
0,93,27,GA,moral phenotype,0.0390487313354545,0.010983355051151389,747.0,150.66179328600123,154.74789582167034,least_squares_100iters
0,54,28,MO,rescorla-wagner,0.1366589119777772,,1207.1192657887682,176.01762332779884,178.0606745956334,least_squares_100iters
0,54,28,MO,inverse motive,0.2225882748159451,0.02927109920365173,805.0,154.92408754628877,159.0101900819579,least_squares_100iters
0,54,28,MO,greed,,,2450.0,214.3651460351407,214.3651460351407,least_squares_100iters
0,54,28,MO,guilt-aversion,128.27809455894123,,1842.0,200.10668909190002,202.14974035973458,least_squares_100iters
0,54,28,MO,inequity-aversion,200.93269384412582,,929.0,161.09027584581943,163.133327113654,least_squares_100iters
0,54,28,MO,moral phenotype,0.3262004814293939,-0.08742280370891958,304.0,99.41665671358528,103.50275924925438,least_squares_100iters
0,56,29,GA,rescorla-wagner,0.41274236436248946,,5098.352844422861,258.13642704068087,260.1794783085154,least_squares_100iters
0,56,29,GA,inverse motive,0.4548432488349534,0.10567225893102387,2372.0,216.52093706013474,220.60703959580385,least_squares_100iters
0,56,29,GA,greed,,,16188.0,321.99153157518873,321.99153157518873,least_squares_100iters
0,56,29,GA,guilt-aversion,9028.005932892785,,2892.0,225.819181980314,227.86223324814856,least_squares_100iters
0,56,29,GA,inequity-aversion,8246.343798013266,,2122.0,208.17259392634458,210.21564519417913,least_squares_100iters
0,56,29,GA,moral phenotype,0.0023218553349050874,0.01799025460331949,2122.0,210.17259392634458,214.2586964620137,least_squares_100iters
0,65,30,MO,rescorla-wagner,0.5029217223234961,,2640.191045398036,220.62665160801112,222.66970287584567,least_squares_100iters
0,65,30,MO,inverse motive,0.25202922054644344,0.011213964679159711,630.0,140.9521074384086,145.03820997407772,least_squares_100iters
0,65,30,MO,greed,,,4652.0,250.91407101082828,250.91407101082828,least_squares_100iters
0,65,30,MO,guilt-aversion,198.5884185061193,,2237.0,211.18086253836802,213.22391380620257,least_squares_100iters
0,65,30,MO,inequity-aversion,228.40602238585637,,885.0,158.32457349888264,160.3676247667172,least_squares_100iters
0,65,30,MO,moral phenotype,0.2518037591145887,-0.032421244592932635,868.0,159.2190054690706,163.3051080047397,least_squares_100iters
0,65,32,MO,rescorla-wagner,0.4376283880054331,,2276.690914581661,212.1833416577378,214.22639292557236,least_squares_100iters
0,65,32,MO,inverse motive,0.6543372076634367,0.06862069202682677,678.0,145.1374731460332,149.2235756817023,least_squares_100iters
0,65,32,MO,greed,,,4089.0,243.56125379421525,243.56125379421525,least_squares_100iters
0,65,32,MO,guilt-aversion,255.1532999470152,,1928.0,202.7076708181486,204.75072208598317,least_squares_100iters
0,65,32,MO,inequity-aversion,165.4828870999059,,679.0,143.2214820042763,145.26453327211087,least_squares_100iters
0,65,32,MO,moral phenotype,0.21202057606567903,0.014172862164176209,690.0,146.13749879613502,150.22360133180413,least_squares_100iters
0,52,33,GR,rescorla-wagner,0.08274857105768064,,2219.8974881701783,210.74340667954422,212.78645794737878,least_squares_100iters
0,52,33,GR,inverse motive,0.48159253061470714,0.09297423262627648,512.0,129.13058136068258,133.21668389635167,least_squares_100iters
0,52,33,GR,greed,,,2277.0,210.19107949906382,210.19107949906382,least_squares_100iters
0,52,33,GR,guilt-aversion,17.384785571781247,,2332.0,213.55152593924245,215.594577207077,least_squares_100iters
0,52,33,GR,inequity-aversion,35.01107292785299,,2243.0,211.3335412010825,213.37659246891707,least_squares_100iters
0,52,33,GR,moral phenotype,0.3513109624081367,0.03999927433051925,941.0,163.82183668979727,167.90793922546638,least_squares_100iters
0,75,34,GA,rescorla-wagner,0.22290467716397305,,1855.9186607947124,200.535777714259,202.57882898209357,least_squares_100iters
0,75,34,GA,inverse motive,0.9140944344804022,0.3338045838133469,1226.0,178.9022683737116,182.9883709093807,least_squares_100iters
0,75,34,GA,greed,,,4659.0,250.99977610698807,250.99977610698807,least_squares_100iters
0,75,34,GA,guilt-aversion,120.32512096709414,,1513.0,188.89151141936694,190.9345626872015,least_squares_100iters
0,75,34,GA,inequity-aversion,273.85995540472163,,1208.0,176.059196307632,178.10224757546655,least_squares_100iters
0,75,34,GA,moral phenotype,0.23742647188240185,-0.097169455383586,935.0,163.4572299028858,167.54333243855493,least_squares_100iters
0,75,35,GA,rescorla-wagner,0.3887913806612683,,2519.8027508041664,217.96642425866781,220.00947552650237,least_squares_100iters
0,75,35,GA,inverse motive,0.04392594717095739,0.04192814765613612,592.0,137.405955921819,141.4920584574881,least_squares_100iters
0,75,35,GA,greed,,,6939.0,273.70611593470494,273.70611593470494,least_squares_100iters
0,75,35,GA,guilt-aversion,499.82801103267695,,869.0,157.284635873558,159.32768714139254,least_squares_100iters
0,75,35,GA,inequity-aversion,326.56492826748985,,427.0,116.78276648746225,118.82581775529681,least_squares_100iters
0,75,35,GA,moral phenotype,0.10318654042535502,-0.013715100901388125,421.0,117.97614925332638,122.06225178899548,least_squares_100iters
0,32,36,MO,rescorla-wagner,0.33540440170518476,,4017.8729170926154,244.56102897254218,246.60408024037673,least_squares_100iters
0,32,36,MO,inverse motive,0.04646787944801523,0.43347385058101934,1127.0,174.1030050336979,178.18910756936702,least_squares_100iters
0,32,36,MO,greed,,,8660.0,286.33486782215004,286.33486782215004,least_squares_100iters
0,32,36,MO,guilt-aversion,342.03228983363033,,1172.0,174.33469503123723,176.3777462990718,least_squares_100iters
0,32,36,MO,inequity-aversion,1032.4166912113942,,517.0,127.68452158041109,129.72757284824564,least_squares_100iters
0,32,36,MO,moral phenotype,0.004668906130038952,0.020308595156363823,562.0,134.44168317737103,138.52778571304015,least_squares_100iters
0,72,37,GR,rescorla-wagner,0.08365038016541969,,442.2167809603723,118.7786900742497,120.82174134208425,least_squares_100iters
0,72,37,GR,inverse motive,0.16995590175684655,0.07341131559913772,913.0,162.10002292734384,166.18612546301296,least_squares_100iters
0,72,37,GR,greed,,,712.0,143.92651868391326,143.92651868391326,least_squares_100iters
0,72,37,GR,guilt-aversion,23.169257831882064,,660.0,141.60374832959752,143.64679959743208,least_squares_100iters
0,72,37,GR,inequity-aversion,91.88840921044883,,588.0,135.01951376365238,137.06256503148694,least_squares_100iters
0,72,37,GR,moral phenotype,0.40940820241095727,0.03810247935928393,368.0,110.3068052090597,114.3929077447288,least_squares_100iters
0,32,38,MO,rescorla-wagner,0.09426538331995894,,2849.608066578085,224.97747210192782,227.02052336976237,least_squares_100iters
0,32,38,MO,inverse motive,0.5606331304715105,0.15438378740433045,1193.0,177.34698379301187,181.433086328681,least_squares_100iters
0,32,38,MO,greed,,,3879.0,240.55603977750877,240.55603977750877,least_squares_100iters
0,32,38,MO,guilt-aversion,182.98387417237217,,2892.0,225.819181980314,227.86223324814856,least_squares_100iters
0,32,38,MO,inequity-aversion,160.0543326216819,,1533.0,189.64004482912407,191.68309609695862,least_squares_100iters
0,32,38,MO,moral phenotype,0.27481148627067886,0.08109073565889846,1335.0,183.7572122709886,187.8433148066577,least_squares_100iters
0,47,39,IA,rescorla-wagner,0.30567169437996233,,2082.0415975202714,207.08901876203447,209.13207002986903,least_squares_100iters
0,47,39,IA,inverse motive,0.29575029109208306,0.17137896550208745,322.0,102.69551582946191,106.78161836513101,least_squares_100iters
0,47,39,IA,greed,,,4733.0,251.89800593808675,251.89800593808675,least_squares_100iters
0,47,39,IA,guilt-aversion,78.95976533286331,,1156.0,173.55117753967306,175.59422880750762,least_squares_100iters
0,47,39,IA,inequity-aversion,255.08979522454788,,192.0,71.22331393901418,73.26636520684873,least_squares_100iters
0,47,39,IA,moral phenotype,0.09034884721325309,-0.002734063859974545,253.0,88.9492785908993,93.0353811265684,least_squares_100iters
0,65,40,MO,rescorla-wagner,0.37462741523419774,,1596.8994277219572,191.96777045071323,194.0108217185478,least_squares_100iters
0,65,40,MO,inverse motive,0.18823081298985833,0.009148638152403979,627.0,140.68003054950714,144.76613308517625,least_squares_100iters
0,65,40,MO,greed,,,3643.0,236.97815716291876,236.97815716291876,least_squares_100iters
0,65,40,MO,guilt-aversion,358.0252327998801,,1350.0,182.39409040508173,184.43714167291628,least_squares_100iters
0,65,40,MO,inequity-aversion,110.32297316542095,,511.0,127.0191443750418,129.06219564287636,least_squares_100iters
0,65,40,MO,moral phenotype,0.23264342645101682,-0.04499762351012318,500.0,127.77873934349557,131.8648418791647,least_squares_100iters
0,54,41,MO,rescorla-wagner,0.30795205944045034,,2793.6026122423254,223.84605387480477,225.88910514263932,least_squares_100iters
0,54,41,MO,inverse motive,0.264204044591441,0.016429848448131612,1536.0,191.75148181476484,195.83758435043396,least_squares_100iters
0,54,41,MO,greed,,,4694.0,251.42637918885586,251.42637918885586,least_squares_100iters
0,54,41,MO,guilt-aversion,59.54357253847409,,2117.0,208.03812818811795,210.0811794559525,least_squares_100iters
0,54,41,MO,inequity-aversion,171.48910821659035,,1774.0,197.96263101699356,200.0056822848281,least_squares_100iters
0,54,41,MO,moral phenotype,0.21793183740185978,-0.09298021690700758,1569.0,192.9631216392135,197.04922417488262,least_squares_100iters
0,83,42,GR,rescorla-wagner,0.8906268708611276,,170.0,64.28658864529555,66.32963991313011,least_squares_100iters
0,83,42,GR,inverse motive,0.4175318559998648,0.05389773208918068,238.0,85.4655061327047,89.5516086683738,least_squares_100iters
0,83,42,GR,greed,,,170.0,62.28658864529556,62.28658864529556,least_squares_100iters
0,83,42,GR,guilt-aversion,121.86368653350654,,4651.0,252.90181689920416,254.94486816703872,least_squares_100iters
0,83,42,GR,inequity-aversion,21.187037283055822,,172.0,64.95326291179747,66.99631417963202,least_squares_100iters
0,83,42,GR,moral phenotype,0.49368576419740884,0.028854407448357766,173.0,67.28369861980404,71.36980115547314,least_squares_100iters
0,56,43,GA,rescorla-wagner,0.432828886851902,,2729.1459830106655,222.51548644607286,224.5585377139074,least_squares_100iters
0,56,43,GA,inverse motive,0.3938908837432746,0.23058654196090864,1076.0,171.46340495456923,175.54950749023834,least_squares_100iters
0,56,43,GA,greed,,,9331.0,290.5886334797699,290.5886334797699,least_squares_100iters
0,56,43,GA,guilt-aversion,434.37318644282794,,1236.0,177.3653091004359,179.40836036827045,least_squares_100iters
0,56,43,GA,inequity-aversion,686.321335423511,,1527.0,189.4165151308927,191.45956639872725,least_squares_100iters
0,56,43,GA,moral phenotype,0.060583921897390425,-0.0845912981840147,1115.0,173.49282971540114,177.57893225107026,least_squares_100iters
0,65,44,MO,rescorla-wagner,0.4864283295454637,,2939.4357619981456,226.74653441433918,228.78958568217374,least_squares_100iters
0,65,44,MO,inverse motive,0.06170435118396472,0.027285958544803934,512.0,129.13058136068258,133.21668389635167,least_squares_100iters
0,65,44,MO,greed,,,5925.0,264.70142779562053,264.70142779562053,least_squares_100iters
0,65,44,MO,guilt-aversion,153.3579002232066,,2011.0,205.1101589504718,207.15321021830636,least_squares_100iters
0,65,44,MO,inequity-aversion,273.3114184355345,,373.0,109.07604765312813,111.11909892096268,least_squares_100iters
0,65,44,MO,moral phenotype,0.13256236095407442,0.026065290539183744,348.0,107.12161908057568,111.20772161624478,least_squares_100iters
0,97,45,IA,rescorla-wagner,0.2494285979850828,,3807.825109695802,241.5004453969416,243.54349666477614,least_squares_100iters
0,97,45,IA,inverse motive,0.5316901814106655,0.047793297183529516,949.0,164.30437925419653,168.39048178986565,least_squares_100iters
0,97,45,IA,greed,,,7153.0,275.4374440356085,275.4374440356085,least_squares_100iters
0,97,45,IA,guilt-aversion,132.02198868053517,,2709.0,222.09316373228108,224.13621500011564,least_squares_100iters
0,97,45,IA,inequity-aversion,697.4525444781921,,849.0,155.95745135317742,158.00050262101198,least_squares_100iters
0,97,45,IA,moral phenotype,0.07788123337601766,0.024717489451834204,825.0,156.32293075450747,160.40903329017658,least_squares_100iters
0,92,46,MO,rescorla-wagner,0.38258456897126236,,1952.9924405703296,203.44180716445862,205.48485843229318,least_squares_100iters
0,92,46,MO,inverse motive,0.04575967416793835,0.017389437120480203,752.0,151.0420481985715,155.12815073424062,least_squares_100iters
0,92,46,MO,greed,,,3662.0,237.27466707179462,237.27466707179462,least_squares_100iters
0,92,46,MO,guilt-aversion,428.0941523884563,,2557.0,218.80170632502828,220.84475759286283,least_squares_100iters
